Accession_Name	Description	Synonyms	Availability	Shape	Size	Height	Width	Ribbing	Ground_Colour	Over_Colour	Over_Colour_P	Crunch	Flesh_Colour	Flowering	Picking	Russet	Crown	Coarseness
Kirke's Lord Nelson	A larger fruited clone of Kentish Fillbasket. It was received by the National Fruit Trials in 1960 from Australia. Fruits have tender, greenish-white, acid flesh.	Kirk's, Kirk's Lord Nelson, Kirke's Nelson, Lord Nelson, Lord Nelson (Kirks)	Material available from the National Fruit Collection.	Oblong	large	70.00	83.00	medium	Whitish yellow	Red	streaked		Yellowish	2nd May10% flowering, 6th MayFull (80%) flowering, 14th May90% petal fall	Mid October			
Kis Erno Tabornok	Availability		Material available from the National Fruit Collection.	Truncate conical	small-medium	44.00	52.00	weak	Green	Brown	mottled		White	6th May10% flowering, 11th MayFull (80%) flowering, 17th May90% petal fall	Late October	very low		
Kitchovka	Availability		Material available from the National Fruit Collection.	Globose conical	medium	57.83	63.98	weak-medium	Whitish yellow	Orange			White	7th May10% flowering, 11th MayFull (80%) flowering, 18th May90% petal fall	Mid October	very low	very weak	coarse
Klunster	Availability		Material available from the National Fruit Collection.	Globose	small			strong	Whitish yellow	Pink			Cream	4th May10% flowering, 11th MayFull (80%) flowering, 18th May90% petal fall	Mid October	very low	medium	fine
Knobby Russet	Brought to notice in 1820 by Haslar Capron of Midhurst, Sussex, England. Fruits have firm, rather dry flesh with a fairly strong flavour.	Knobbed Russet, Old Maid's, Old Maids, Winter, Winter Apple, Winter Russet	Material available from the National Fruit Collection.	Broad globose conical	medium	51.00	64.00	medium	Orange				Cream	30th April10% flowering, 6th MayFull (80%) flowering, 13th May90% petal fall	Mid October	very high		fine
Kolacara	Synonyms:	Kolatchara, Koltchara	Material available from the National Fruit Collection.	Broad globose conical	large-very large			medium	Green yellow	Orange		crisp	White	3rd May10% flowering, 8th MayFull (80%) flowering, 15th May90% petal fall	Mid October	low	medium-strong	coarse
Konigin Sophiensapfel	Originated in the mid-late 1700s probably in England. It was first distributed by Loddiges as Winter Queen and renamed by German pomologist Diel. Fruits have soft, dry, mealy flesh with a slightly subacid flavour.	Blanke Zoete Renet, Kirkes Lemon Pippin, Konigin Sophien's Apfel, Konigin Sophienapfel, Konigin Sophiens, Lemon Pippin, Limonien Apfel, Quince, Reine Sophie, Sofiya, Winter Queen	Material available from the National Fruit Collection.	Ellipsoid	medium	73.50	63.00	medium	Green yellow	Brown			White	3rd May10% flowering, 9th MayFull (80%) flowering, 16th May90% petal fall	Mid October	very low		coarse
Koningin Juliana	Raised in 1935 at the Horticultural Laboratory, Wageningen, The Netherlands. It was introduced in 1952. Fruits have firm, medium textured flesh with a subacid flavour.		Material available from the National Fruit Collection.	Globose conical	medium-large	56.50	67.50	weak	Yellow	Orange	streaked/mottled		Cream	7th May10% flowering, 11th MayFull (80%) flowering, 18th May90% petal fall	Late September	very low		
Korei	Raised in 1935 at Aomori Apple Experiment Station, Japan. It was named in 1949. Fruits have medium crisp, pale cream flesh with a sweet, vinous flavour.		Material available from the National Fruit Collection.	Truncate conical	medium	61.50	66.00	medium-strong	Yellow	Brown		crisp	Cream	6th May10% flowering, 11th MayFull (80%) flowering, 18th May90% petal fall	Mid October	very low		
Korobovka	Originated in Russia. It was described in 1855. Awarded the Award of Merit from the RHS in 1896 under its synonym name 'Cardinal'. Fruits have soft, white flesh with a sweet, vinous flavour.	Cardinal, Karabovka, Karolkowski, Kiarolkowski, Kiarolowksi, Kierakouiski, Kiorabkawski, Kiorabkowski, Korobovskoe, Korobowka, Medunichka sladkaya, Peter the Great, Pierre le Grand, Tartnell, Tartnell's	Material available from the National Fruit Collection.	Broad globose conical	medium-large			medium	Whitish yellow	Red	streaked		White	3rd May10% flowering, 7th MayFull (80%) flowering, 13th May90% petal fall	Mid August			
Kortegaard Cox	A sport of Cox's Orange Pippin having no stripes. It was discovered in 1914 at Kortegard, Denmark by Otto Stowo. Fruits are juicy and sweet with a rich, aromatic, nutty flavour.		Material available from the National Fruit Collection.	Truncate conical	medium									12th May10% flowering, 17th MayFull (80%) flowering, 23rd May90% petal fall	Late September			
Kosmonaut	Availability		Material available from the National Fruit Collection.	Truncate conical	large			weak	Whitish yellow	Red			Yellowish	6th May10% flowering, 10th MayFull (80%) flowering, 18th May90% petal fall	Late October	low	weak	
Kougetsu	Raised at Aomori Apple Experimental Station, Japan. Fruits have coarse cream flesh.		Material in the National Fruit Collection not currently available.		large									28th April10% flowering, 30th AprilFull (80%) flowering, 9th May90% petal fall	Mid October			
Krasava	Availability		Material in the National Fruit Collection not currently available.	Globose	large	64.09	79.88	weak-medium	Whitish yellow	Orange			Greenish	28th April10% flowering, 4th MayFull (80%) flowering, 12th May90% petal fall	Late August	low	weak-medium	
Krasnyi shtandart	Raised in 1915 by I.V. Michurin at Michurinsk, Russia. Very attractive tree with red leaves, bark and blossom. The small dark red fruits have pink, sharp flesh.		Material available from the National Fruit Collection.	Flat globose	small			medium	Whitish yellow	Pink		crumbly	Pinkish	5th May10% flowering, 12th MayFull (80%) flowering, 20th May90% petal fall	Early October	low	weak	
Kronprinz Rudolf	Originated with I. Klochner, Steiermark, Austria from seed sown in 1863. Fruits have fine, soft flesh with a sweet subacid and perfumed flavour.	Korunni Princ Rudolf, Kronprinz, Kronprinz Rudolf von Osterreich, Kronprinz Rudolph, Kronprinz Rudolph von Osterreich, Prince Imperial Rodolphe d'Autriche, Prince Rodolphe, Principe crediturio Rodolfo, Rudolf, Rudolf Koronac rokos	Material available from the National Fruit Collection.	Broad globose conical	medium	47.50	54.00	weak	Yellow	Brown			Yellowish	30th April10% flowering, 5th MayFull (80%) flowering, 12th May90% petal fall	Early October			fine
Krugers Dickstiel	Synonyms:	Achimer Goldreinette, Celler Dickstiel, Donnerhorst, Sulzbacher Liebling, Woltmanns Renette	Material available from the National Fruit Collection.	Flat globose	medium-large			weak	Green yellow	Orange			Cream	17th May10% flowering, 21st MayFull (80%) flowering, 29th May90% petal fall	Mid October	low-medium	weak	fine
Kuldzhinka Krupnoplodnaya	Synonyms:	Kuldzhinka Krupnoplodaya	Material available from the National Fruit Collection.	Oblong	small									30th April10% flowering, 5th MayFull (80%) flowering, 15th May90% petal fall	Mid October			
Kyokko	Raised in 1931 at Aomori Apple Experiment Station, Japan. It was named in 1948. Fruits have fine, soft flesh with a sweet almost insipid flavour.		Material available from the National Fruit Collection.	Oblong	small-medium	58.00	57.00	medium	Yellow	Red			Greenish	9th May10% flowering, 14th MayFull (80%) flowering, 20th May90% petal fall	Late September	very low		fine
La Nationale	Raised by M. Roux at Sainte-Romain-au-Mont d'Or, Rhone, France. It first fruited in 1871. Fruits have firm, sweet flesh.	Bernardin, Bourget, Cusset a Fruits Rouges, Cusset Rouge, Deesse nationale, Natsionalnoe	Material available from the National Fruit Collection.	Globose	large	58.80	73.84	weak-medium	Whitish green	Dark Red		crumbly	Greenish	22nd May10% flowering, 27th MayFull (80%) flowering, 3rd June90% petal fall	Late October	low	weak-medium	
Lady Henniker	Raised by John Perkins, gardener to Lord Henniker, from a pip found in cider must at Thornham hall, Eye, Suffolk between 1840 and 1850. Introduced in 1873. It received a First Class Certificate from the RHS in 1873. Fruits have firm, coarse-textured, rather dry flesh with a fairly acid but fair flavour.	Henniker, Lady Hennicker, Ledi Genniker	Material available from the National Fruit Collection.	Oblong	large	65.00	78.00	medium	Yellow	Orange	striped		Yellowish	7th May10% flowering, 13th MayFull (80%) flowering, 23rd May90% petal fall	Early October			
Lady Hollendale	Originated in East Anglia. It was recorded in 1918. Fruits have rather tough flesh with a sharp flavour.		Material available from the National Fruit Collection.	Globose conical	medium	49.98	63.85	weak-medium	Whitish yellow	Red		crumbly	White	1st May10% flowering, 7th MayFull (80%) flowering, 14th May90% petal fall	Early August	very low	absent	
Lady Hopetown	Availability		Material available from the National Fruit Collection.	Flat globose	large			weak-medium	Whitish yellow	Orange		crisp	White	6th May10% flowering, 11th MayFull (80%) flowering, 18th May90% petal fall	Mid October	low	medium-strong	fine
Lady Isabel	Found in 1939 by Mrs Reading at Guildford, Surrey. Fruits have firm, crisp flesh with a subacid flavour.		Material available from the National Fruit Collection.	Conical	large	66.50	76.00	weak	Green yellow	Orange	striped	crisp	White	4th May10% flowering, 9th MayFull (80%) flowering, 17th May90% petal fall	Early October			
Lady Lambourne (EMLA1)	A sport of Lord Lambourne claiming to have a much brighter colour. Found in about 1945 at Appleby Fruit Farm, Kingston Bagpuize, Berkshire. Fruits are juicy and sweet with a good aromatic flavour.		Material available from the National Fruit Collection.											2nd May10% flowering, 8th MayFull (80%) flowering, 15th May90% petal fall	Mid September			
Lady of the Lake	Availability		Material available from the National Fruit Collection.	Truncate conical	small			strong	Yellow	Orange		crisp	Cream	7th May10% flowering, 12th MayFull (80%) flowering, 19th May90% petal fall	Mid October	very low	medium	
Lady of the Wemyss	Originated from Scotland. It was recorded in 1831. Fruits have hard, fine flesh with an acid flavour.	Lady of the Wemys, Lady Wemyss	Material available from the National Fruit Collection.	Globose	large-very large	69.71	83.36	medium	Whitish yellow	Pink		crisp	White	4th May10% flowering, 9th MayFull (80%) flowering, 18th May90% petal fall	Mid October	low	weak-medium	
Lady Sudeley	Raised in about 1849 by a cottager called Jacob at Petworth, Sussex. Introduced in 1885 by G. Bunyard & Co., Maidstone, Kent. It received an Award of Merit from the RHS in 1884. Fruits have firm, juicy flesh which is a little acid and with good flavour.	Jacob's Strawberry, Lady Sudely	Material available from the National Fruit Collection.	Oblong	medium	54.00	67.00	strong	Yellow	Orange	striped		Yellowish	8th May10% flowering, 13th MayFull (80%) flowering, 21st May90% petal fall	Early September			fine
Lady Williams	Originated as a chance seedling in Donnybrook, Western Australia, in about 1935. Parents unknown but thought to be Granny Smith and Jonathan. Fruits have firm, crisp flesh. It rarely reaches maturity in the UK.		Material available from the National Fruit Collection.	Globose	medium	56.13	65.25	weak-medium	Whitish yellow	Orange		crisp	Cream	2nd May10% flowering, 7th MayFull (80%) flowering, 16th May90% petal fall	Mid November	low	weak-medium	
Lady's Delight	Originated in England. It was first described in 1851. Fruits have crisp flesh with a sweet, subacid, aromatic flavour.		Material available from the National Fruit Collection.	Broad globose conical	large-very large	71.96	95.93	strong-very strong	Whitish green	Red		crisp	Cream	8th May10% flowering, 12th MayFull (80%) flowering, 20th May90% petal fall	Mid September	low	medium-strong	
Lady's Finger of Offaly	Originated from Ireland. It was described in 1851. Fruits have softish flesh with some flavour.	Lady's Finger (of Offaly and Monaghan)	Material available from the National Fruit Collection.	Narrow conical	medium	64.00	51.00		Green	Red			Greenish	6th May10% flowering, 11th MayFull (80%) flowering, 21st May90% petal fall	Early September			
Lagree (Loire Atlantique)	Availability		Material available from the National Fruit Collection.	Flat	medium	51.00	64.00	very weak	Yellow	Pink		crisp	Cream	13th May10% flowering, 19th MayFull (80%) flowering, 27th May90% petal fall	Late October	low		fine
Lake's Kernel	Brought to Ashleworth, Gloucestershire, England by Mr Lake. It was first exhibited in 1905. Fruits have firm flesh with a subacid flavour.	Ashleworth, Prince's Pippin, Princess Pippin	Material available from the National Fruit Collection.	Broad globose conical	small			weak	Yellow	Orange		crisp	White	11th May10% flowering, 17th MayFull (80%) flowering, 24th May90% petal fall	Early October	low	weak-medium	fine
Lakeland	Raised at the University of Minnesota Fruit Breeding Farm, Excelsior. It was introduced in 1950. Fruits have sweet, crisp, juicy flesh.		Material available from the National Fruit Collection.	Broad globose conical	large	59.18	73.60	medium	Whitish yellow	Red			Cream	4th May10% flowering, 9th MayFull (80%) flowering, 17th May90% petal fall	Early September	absent	medium-strong	fine
Lamb Abbey Pearmain	Raised in 1804 by Mrs Mary Anne Malcolm at Lamb Abbey, Dartford, Kent. It received the Award of Merit from the RHS in 1901. Fruits have firm, pale yellow, sugary and rich flesh.	Lamb Abbey, Lambe Abbey, Laneb Abbey, Laneb Abbey Pearmain, Parmaene der Abtei Lamb, Pearmain de l'Abbaye de Lamb, Pearmain de l'Abbey de Lamb, Pearmain Lamb Abbey	Material available from the National Fruit Collection.	Truncate conical	medium	49.00	56.00	weak	Whitish yellow	Orange	striped	crisp	Greenish	2nd May10% flowering, 7th MayFull (80%) flowering, 15th May90% petal fall	Late September	low-medium		
